"","GEOID","NAME","variable","value"
"425","05123","St. Francis County, Arkansas","P002001",28258
"426","05147","Woodruff County, Arkansas","P002001",7260
"427","05115","Pope County, Arkansas","P002001",61754
"428","05119","Pulaski County, Arkansas","P002001",382748
"429","01003","Baldwin County, Alabama","P002001",182265
"430","01005","Barbour County, Alabama","P002001",27457
"431","01015","Calhoun County, Alabama","P002001",118572
"432","05111","Poinsett County, Arkansas","P002001",24583
"433","05113","Polk County, Arkansas","P002001",20662
"434","05117","Prairie County, Arkansas","P002001",8715
"435","05121","Randolph County, Arkansas","P002001",17969
"436","05125","Saline County, Arkansas","P002001",107118
"437","05127","Scott County, Arkansas","P002001",11233
"438","05129","Searcy County, Arkansas","P002001",8195
"439","29181","Ripley County, Missouri","P002001",14100
"440","29183","St. Charles County, Missouri","P002001",360485
"441","29203","Shannon County, Missouri","P002001",8441
"442","29186","Ste. Genevieve County, Missouri","P002001",18145
"443","29187","St. Francois County, Missouri","P002001",65359
"444","29189","St. Louis County, Missouri","P002001",998954
"445","29195","Saline County, Missouri","P002001",23370
"446","29197","Schuyler County, Missouri","P002001",4431
"447","29199","Scotland County, Missouri","P002001",4843
"448","29201","Scott County, Missouri","P002001",39191
"449","29215","Texas County, Missouri","P002001",26008
"450","29205","Shelby County, Missouri","P002001",6373
"451","29207","Stoddard County, Missouri","P002001",29968
"452","29209","Stone County, Missouri","P002001",32202
"453","29211","Sullivan County, Missouri","P002001",6714
"454","29213","Taney County, Missouri","P002001",51675
"455","29217","Vernon County, Missouri","P002001",21159
"456","29219","Warren County, Missouri","P002001",32513
"457","29221","Washington County, Missouri","P002001",25195
"458","29223","Wayne County, Missouri","P002001",13521
"459","29225","Webster County, Missouri","P002001",36202
"460","29227","Worth County, Missouri","P002001",2171
"461","29229","Wright County, Missouri","P002001",18815
"462","29510","St. Louis city, Missouri","P002001",319294
"463","30005","Blaine County, Montana","P002001",6491
"464","30003","Big Horn County, Montana","P002001",12865
"465","30001","Beaverhead County, Montana","P002001",9246
"466","30007","Broadwater County, Montana","P002001",5612
"467","30021","Dawson County, Montana","P002001",8966
"468","30011","Carter County, Montana","P002001",1160
"469","30009","Carbon County, Montana","P002001",10078
"470","30013","Cascade County, Montana","P002001",81327
"471","30015","Chouteau County, Montana","P002001",5813
"472","30023","Deer Lodge County, Montana","P002001",9298
"473","30025","Fallon County, Montana","P002001",2890
"474","30027","Fergus County, Montana","P002001",11586
"475","30017","Custer County, Montana","P002001",11699
"476","30019","Daniels County, Montana","P002001",1751
"477","30039","Granite County, Montana","P002001",3079
"478","30029","Flathead County, Montana","P002001",90928
"479","30031","Gallatin County, Montana","P002001",89513
"480","30033","Garfield County, Montana","P002001",1206
"481","30035","Glacier County, Montana","P002001",13399
"482","30037","Golden Valley County, Montana","P002001",884
"483","36037","Genesee County, New York","P002001",60079
"484","36039","Greene County, New York","P002001",49221
"485","36051","Livingston County, New York","P002001",65393
"486","30041","Hill County, Montana","P002001",16096
"487","30043","Jefferson County, Montana","P002001",11406
"488","30045","Judith Basin County, Montana","P002001",2072
"489","30047","Lake County, Montana","P002001",28746
